時間戳記,Index,Learning_Rate,Batch_Size,Dropout_Config_ID,Dropout_Values,Accuracy,訓練耗時(秒),平台
2025-12-19 10:17:46,1,5e-05,16,0,"[0.3, 0.25, 0.2, 0.15]",0.841997,316.35,Windows-AMD64
2025-12-19 10:23:04,2,5e-05,16,1,"[0.35, 0.3, 0.25, 0.2]",0.829685,316.58,Windows-AMD64
2025-12-19 10:28:43,3,5e-05,16,2,"[0.4, 0.35, 0.3, 0.25]",0.829685,338.22,Windows-AMD64
2025-12-19 10:34:58,4,5e-05,16,3,"[0.45, 0.4, 0.35, 0.3]",0.830369,374.21,Windows-AMD64
2025-12-19 10:42:58,5,5e-05,16,4,"[0.5, 0.45, 0.4, 0.35]",0.835841,479.45,Windows-AMD64
2025-12-19 11:00:18,6,5e-05,16,5,"[0.55, 0.5, 0.45, 0.4]",0.840629,703.16,Windows-AMD64
2025-12-19 11:14:29,7,5e-05,16,6,"[0.4, 0.4, 0.4, 0.4]",0.829001,367.52,Windows-AMD64
2025-12-19 11:19:30,8,5e-05,16,7,"[0.3, 0.3, 0.3, 0.3]",0.827633,300.84,Windows-AMD64
2025-12-19 11:25:08,9,5e-05,16,8,"[0.5, 0.3, 0.3, 0.1]",0.831053,337.14,Windows-AMD64
2025-12-19 11:30:03,10,5e-05,16,9,"[0.2, 0.3, 0.4, 0.5]",0.839945,295.02,Windows-AMD64
2025-12-19 11:33:50,11,5e-05,18,0,"[0.3, 0.25, 0.2, 0.15]",0.824897,226.34,Windows-AMD64
2025-12-19 11:38:14,12,5e-05,18,1,"[0.35, 0.3, 0.25, 0.2]",0.834473,264.34,Windows-AMD64
2025-12-19 11:42:38,13,5e-05,18,2,"[0.4, 0.35, 0.3, 0.25]",0.822161,263.81,Windows-AMD64
2025-12-19 11:47:39,14,5e-05,18,3,"[0.45, 0.4, 0.35, 0.3]",0.822161,300.44,Windows-AMD64
2025-12-19 11:54:03,15,5e-05,18,4,"[0.5, 0.45, 0.4, 0.35]",0.825581,384.01,Windows-AMD64
2025-12-19 12:01:07,16,5e-05,18,5,"[0.55, 0.5, 0.45, 0.4]",0.831053,423.41,Windows-AMD64
2025-12-19 12:07:32,17,5e-05,18,6,"[0.4, 0.4, 0.4, 0.4]",0.833789,384.88,Windows-AMD64
2025-12-19 12:11:50,18,5e-05,18,7,"[0.3, 0.3, 0.3, 0.3]",0.832421,258.12,Windows-AMD64
2025-12-19 12:18:14,19,5e-05,18,8,"[0.5, 0.3, 0.3, 0.1]",0.837893,383.70,Windows-AMD64
2025-12-19 12:22:38,20,5e-05,18,9,"[0.2, 0.3, 0.4, 0.5]",0.826949,263.63,Windows-AMD64
2025-12-19 12:26:19,21,5e-05,20,0,"[0.3, 0.25, 0.2, 0.15]",0.823529,221.03,Windows-AMD64
2025-12-19 12:30:41,22,5e-05,20,1,"[0.35, 0.3, 0.25, 0.2]",0.835157,261.42,Windows-AMD64
2025-12-19 12:35:01,23,5e-05,20,2,"[0.4, 0.35, 0.3, 0.25]",0.829001,260.23,Windows-AMD64
2025-12-19 12:39:55,24,5e-05,20,3,"[0.45, 0.4, 0.35, 0.3]",0.826949,293.82,Windows-AMD64
2025-12-19 12:45:17,25,5e-05,20,4,"[0.5, 0.45, 0.4, 0.35]",0.826265,321.66,Windows-AMD64
2025-12-19 12:51:04,26,5e-05,20,5,"[0.55, 0.5, 0.45, 0.4]",0.815321,346.36,Windows-AMD64
2025-12-19 12:56:03,27,5e-05,20,6,"[0.4, 0.4, 0.4, 0.4]",0.837209,299.22,Windows-AMD64
2025-12-19 12:59:43,28,5e-05,20,7,"[0.3, 0.3, 0.3, 0.3]",0.822161,220.09,Windows-AMD64
2025-12-19 13:05:01,29,5e-05,20,8,"[0.5, 0.3, 0.3, 0.1]",0.833105,316.96,Windows-AMD64
2025-12-19 13:09:14,30,5e-05,20,9,"[0.2, 0.3, 0.4, 0.5]",0.834473,253.16,Windows-AMD64
2025-12-19 13:13:10,31,5e-05,22,0,"[0.3, 0.25, 0.2, 0.15]",0.825581,235.89,Windows-AMD64
2025-12-19 13:16:46,32,5e-05,22,1,"[0.35, 0.3, 0.25, 0.2]",0.822845,215.91,Windows-AMD64
2025-12-19 13:20:22,33,5e-05,22,2,"[0.4, 0.35, 0.3, 0.25]",0.820109,215.58,Windows-AMD64
2025-12-19 13:24:22,34,5e-05,22,3,"[0.45, 0.4, 0.35, 0.3]",0.822161,240.16,Windows-AMD64
2025-12-19 13:29:31,35,5e-05,22,4,"[0.5, 0.45, 0.4, 0.35]",0.827633,308.57,Windows-AMD64
2025-12-19 13:35:47,36,5e-05,22,5,"[0.55, 0.5, 0.45, 0.4]",0.829001,375.97,Windows-AMD64
2025-12-19 13:40:53,37,5e-05,22,6,"[0.4, 0.4, 0.4, 0.4]",0.831737,305.09,Windows-AMD64
2025-12-19 13:44:39,38,5e-05,22,7,"[0.3, 0.3, 0.3, 0.3]",0.833789,225.78,Windows-AMD64
2025-12-19 13:48:39,39,5e-05,22,8,"[0.5, 0.3, 0.3, 0.1]",0.830369,240.32,Windows-AMD64
2025-12-19 13:52:26,40,5e-05,22,9,"[0.2, 0.3, 0.4, 0.5]",0.828317,226.89,Windows-AMD64
2025-12-19 13:55:12,41,5e-05,24,0,"[0.3, 0.25, 0.2, 0.15]",0.817373,165.51,Windows-AMD64
2025-12-19 13:58:39,42,5e-05,24,1,"[0.35, 0.3, 0.25, 0.2]",0.832421,206.71,Windows-AMD64
2025-12-19 14:02:11,43,5e-05,24,2,"[0.4, 0.35, 0.3, 0.25]",0.825581,211.92,Windows-AMD64
2025-12-19 14:06:23,44,5e-05,24,3,"[0.45, 0.4, 0.35, 0.3]",0.832421,251.97,Windows-AMD64
2025-12-19 14:11:30,45,5e-05,24,4,"[0.5, 0.45, 0.4, 0.35]",0.830369,306.02,Windows-AMD64
2025-12-19 14:17:00,46,5e-05,24,5,"[0.55, 0.5, 0.45, 0.4]",0.829685,330.27,Windows-AMD64
2025-12-19 14:21:20,47,5e-05,24,6,"[0.4, 0.4, 0.4, 0.4]",0.835841,259.40,Windows-AMD64
2025-12-19 14:24:55,48,5e-05,24,7,"[0.3, 0.3, 0.3, 0.3]",0.826949,215.30,Windows-AMD64
2025-12-19 14:28:47,49,5e-05,24,8,"[0.5, 0.3, 0.3, 0.1]",0.830369,231.02,Windows-AMD64
2025-12-19 14:32:13,50,5e-05,24,9,"[0.2, 0.3, 0.4, 0.5]",0.833789,206.68,Windows-AMD64
2025-12-19 14:35:16,51,5e-05,26,0,"[0.3, 0.25, 0.2, 0.15]",0.823529,182.29,Windows-AMD64
2025-12-19 14:38:31,52,5e-05,26,1,"[0.35, 0.3, 0.25, 0.2]",0.837209,194.47,Windows-AMD64
2025-12-19 14:41:50,53,5e-05,26,2,"[0.4, 0.35, 0.3, 0.25]",0.833789,198.69,Windows-AMD64
2025-12-19 14:45:14,54,5e-05,26,3,"[0.45, 0.4, 0.35, 0.3]",0.822845,204.57,Windows-AMD64
2025-12-19 14:49:29,55,5e-05,26,4,"[0.5, 0.45, 0.4, 0.35]",0.826265,254.49,Windows-AMD64
2025-12-19 14:55:31,56,5e-05,26,5,"[0.55, 0.5, 0.45, 0.4]",0.835157,361.38,Windows-AMD64
2025-12-19 14:59:31,57,5e-05,26,6,"[0.4, 0.4, 0.4, 0.4]",0.828317,239.69,Windows-AMD64
2025-12-19 15:02:51,58,5e-05,26,7,"[0.3, 0.3, 0.3, 0.3]",0.826949,200.36,Windows-AMD64
2025-12-19 15:06:07,59,5e-05,26,8,"[0.5, 0.3, 0.3, 0.1]",0.827633,195.99,Windows-AMD64
2025-12-19 15:09:28,60,5e-05,26,9,"[0.2, 0.3, 0.4, 0.5]",0.818057,200.71,Windows-AMD64
2025-12-19 15:12:27,61,5e-05,28,0,"[0.3, 0.25, 0.2, 0.15]",0.834473,178.57,Windows-AMD64
2025-12-19 15:15:18,62,5e-05,28,1,"[0.35, 0.3, 0.25, 0.2]",0.826265,170.19,Windows-AMD64
2025-12-19 15:18:21,63,5e-05,28,2,"[0.4, 0.35, 0.3, 0.25]",0.818741,182.94,Windows-AMD64
2025-12-19 15:21:55,64,5e-05,28,3,"[0.45, 0.4, 0.35, 0.3]",0.828317,214.08,Windows-AMD64
2025-12-19 15:25:50,65,5e-05,28,4,"[0.5, 0.45, 0.4, 0.35]",0.831053,234.37,Windows-AMD64
2025-12-19 15:30:55,66,5e-05,28,5,"[0.55, 0.5, 0.45, 0.4]",0.839261,304.45,Windows-AMD64
2025-12-19 15:34:25,67,5e-05,28,6,"[0.4, 0.4, 0.4, 0.4]",0.829001,210.09,Windows-AMD64
2025-12-19 15:37:32,68,5e-05,28,7,"[0.3, 0.3, 0.3, 0.3]",0.837209,187.22,Windows-AMD64
2025-12-19 15:40:38,69,5e-05,28,8,"[0.5, 0.3, 0.3, 0.1]",0.813953,185.28,Windows-AMD64
2025-12-19 15:43:41,70,5e-05,28,9,"[0.2, 0.3, 0.4, 0.5]",0.829685,182.73,Windows-AMD64
2025-12-19 15:46:00,71,5e-05,32,0,"[0.3, 0.25, 0.2, 0.15]",0.821477,138.85,Windows-AMD64
2025-12-19 15:48:57,72,5e-05,32,1,"[0.35, 0.3, 0.25, 0.2]",0.831737,177.30,Windows-AMD64
2025-12-19 15:51:55,73,5e-05,32,2,"[0.4, 0.35, 0.3, 0.25]",0.831737,177.33,Windows-AMD64
2025-12-19 15:55:15,74,5e-05,32,3,"[0.45, 0.4, 0.35, 0.3]",0.828317,199.48,Windows-AMD64
2025-12-19 15:58:47,75,5e-05,32,4,"[0.5, 0.45, 0.4, 0.35]",0.829001,212.32,Windows-AMD64
2025-12-19 16:03:24,76,5e-05,32,5,"[0.55, 0.5, 0.45, 0.4]",0.833105,276.40,Windows-AMD64
2025-12-19 16:06:50,77,5e-05,32,6,"[0.4, 0.4, 0.4, 0.4]",0.833105,205.57,Windows-AMD64
2025-12-19 16:09:09,78,5e-05,32,7,"[0.3, 0.3, 0.3, 0.3]",0.824897,139.47,Windows-AMD64
2025-12-19 16:12:08,79,5e-05,32,8,"[0.5, 0.3, 0.3, 0.1]",0.819425,178.60,Windows-AMD64
2025-12-19 16:14:52,80,5e-05,32,9,"[0.2, 0.3, 0.4, 0.5]",0.818057,163.46,Windows-AMD64
2025-12-19 16:16:42,81,5e-05,48,0,"[0.3, 0.25, 0.2, 0.15]",0.822845,110.30,Windows-AMD64
2025-12-19 16:18:33,82,5e-05,48,1,"[0.35, 0.3, 0.25, 0.2]",0.820109,110.69,Windows-AMD64
2025-12-19 16:20:54,83,5e-05,48,2,"[0.4, 0.35, 0.3, 0.25]",0.827633,140.65,Windows-AMD64
2025-12-19 16:23:13,84,5e-05,48,3,"[0.45, 0.4, 0.35, 0.3]",0.829001,138.45,Windows-AMD64
2025-12-19 16:26:12,85,5e-05,48,4,"[0.5, 0.45, 0.4, 0.35]",0.825581,179.16,Windows-AMD64
2025-12-19 16:29:24,86,5e-05,48,5,"[0.55, 0.5, 0.45, 0.4]",0.826265,191.26,Windows-AMD64
2025-12-19 16:31:59,87,5e-05,48,6,"[0.4, 0.4, 0.4, 0.4]",0.835157,155.29,Windows-AMD64
2025-12-19 16:33:50,88,5e-05,48,7,"[0.3, 0.3, 0.3, 0.3]",0.822845,110.17,Windows-AMD64
2025-12-19 16:35:49,89,5e-05,48,8,"[0.5, 0.3, 0.3, 0.1]",0.805746,119.22,Windows-AMD64
2025-12-19 16:37:48,90,5e-05,48,9,"[0.2, 0.3, 0.4, 0.5]",0.821477,119.15,Windows-AMD64
2025-12-19 16:42:10,91,8e-05,16,0,"[0.3, 0.25, 0.2, 0.15]",0.834473,261.11,Windows-AMD64
2025-12-19 16:46:17,92,8e-05,16,1,"[0.35, 0.3, 0.25, 0.2]",0.840629,247.11,Windows-AMD64
2025-12-19 16:51:13,93,8e-05,16,2,"[0.4, 0.35, 0.3, 0.25]",0.835841,296.15,Windows-AMD64
2025-12-19 16:56:23,94,8e-05,16,3,"[0.45, 0.4, 0.35, 0.3]",0.837209,309.46,Windows-AMD64
2025-12-19 17:01:54,95,8e-05,16,4,"[0.5, 0.45, 0.4, 0.35]",0.831053,330.56,Windows-AMD64
2025-12-19 17:09:04,96,8e-05,16,5,"[0.55, 0.5, 0.45, 0.4]",0.841997,429.67,Windows-AMD64
2025-12-19 17:14:27,97,8e-05,16,6,"[0.4, 0.4, 0.4, 0.4]",0.832421,322.72,Windows-AMD64
2025-12-19 17:18:14,98,8e-05,16,7,"[0.3, 0.3, 0.3, 0.3]",0.826265,227.13,Windows-AMD64
2025-12-19 17:23:46,99,8e-05,16,8,"[0.5, 0.3, 0.3, 0.1]",0.836525,331.46,Windows-AMD64
2025-12-19 17:28:07,100,8e-05,16,9,"[0.2, 0.3, 0.4, 0.5]",0.826265,260.14,Windows-AMD64
2025-12-19 17:31:21,101,8e-05,18,0,"[0.3, 0.25, 0.2, 0.15]",0.830369,193.81,Windows-AMD64
2025-12-19 17:35:39,102,8e-05,18,1,"[0.35, 0.3, 0.25, 0.2]",0.839945,258.53,Windows-AMD64
2025-12-19 17:40:03,103,8e-05,18,2,"[0.4, 0.35, 0.3, 0.25]",0.836525,263.42,Windows-AMD64
2025-12-19 17:44:29,104,8e-05,18,3,"[0.45, 0.4, 0.35, 0.3]",0.828317,265.67,Windows-AMD64
2025-12-19 17:49:37,105,8e-05,18,4,"[0.5, 0.45, 0.4, 0.35]",0.837209,307.80,Windows-AMD64
2025-12-19 17:55:15,106,8e-05,18,5,"[0.55, 0.5, 0.45, 0.4]",0.829685,338.24,Windows-AMD64
2025-12-19 17:58:49,107,8e-05,18,6,"[0.4, 0.4, 0.4, 0.4]",0.813953,213.58,Windows-AMD64
2025-12-19 18:02:04,108,8e-05,18,7,"[0.3, 0.3, 0.3, 0.3]",0.825581,194.57,Windows-AMD64
2025-12-19 18:06:28,109,8e-05,18,8,"[0.5, 0.3, 0.3, 0.1]",0.827633,263.50,Windows-AMD64
2025-12-19 18:09:58,110,8e-05,18,9,"[0.2, 0.3, 0.4, 0.5]",0.824897,209.75,Windows-AMD64
2025-12-19 18:12:59,111,8e-05,20,0,"[0.3, 0.25, 0.2, 0.15]",0.826265,181.46,Windows-AMD64
2025-12-19 18:16:23,112,8e-05,20,1,"[0.35, 0.3, 0.25, 0.2]",0.824897,203.47,Windows-AMD64
2025-12-19 18:20:00,113,8e-05,20,2,"[0.4, 0.35, 0.3, 0.25]",0.839945,216.69,Windows-AMD64
2025-12-19 18:24:20,114,8e-05,20,3,"[0.45, 0.4, 0.35, 0.3]",0.829685,260.02,Windows-AMD64
2025-12-19 18:29:43,115,8e-05,20,4,"[0.5, 0.45, 0.4, 0.35]",0.839261,322.33,Windows-AMD64
2025-12-19 18:35:29,116,8e-05,20,5,"[0.55, 0.5, 0.45, 0.4]",0.825581,346.54,Windows-AMD64
2025-12-19 18:39:44,117,8e-05,20,6,"[0.4, 0.4, 0.4, 0.4]",0.832421,254.32,Windows-AMD64
2025-12-19 18:43:08,118,8e-05,20,7,"[0.3, 0.3, 0.3, 0.3]",0.829001,203.99,Windows-AMD64
2025-12-19 18:46:50,119,8e-05,20,8,"[0.5, 0.3, 0.3, 0.1]",0.822161,221.41,Windows-AMD64
2025-12-19 18:49:45,120,8e-05,20,9,"[0.2, 0.3, 0.4, 0.5]",0.820109,175.11,Windows-AMD64
2025-12-19 18:52:17,121,8e-05,22,0,"[0.3, 0.25, 0.2, 0.15]",0.827633,151.37,Windows-AMD64
2025-12-19 18:55:54,122,8e-05,22,1,"[0.35, 0.3, 0.25, 0.2]",0.833789,216.69,Windows-AMD64
2025-12-19 18:59:30,123,8e-05,22,2,"[0.4, 0.35, 0.3, 0.25]",0.831737,216.32,Windows-AMD64
